claim_id,time_to_close,claim_amount,amount_paid,location,individuals_on_claim,linked_cases,cause
1,317,"R$74,474.55","R$51,231.37",RECIFE,15,FALSE,unknown
2,195,"R$52,137.83","R$42,111.30",FORTALEZA,12,TRUE,unknown
3,183,"R$24,447.20","R$23,986.30",SAO LUIS,10,TRUE,meat
4,186,"R$29,006.28","R$27,942.72",FORTALEZA,11,FALSE,meat
5,138,"R$19,520.60","R$16,251.06",RECIFE,11,FALSE,vegetable
6,183,"R$47,529.14","R$38,011.98",NATAL,11,FALSE,unknown
7,190,"R$39,073.26","R$29,826.04",SAO LUIS,12,FALSE,meat
8,183,"R$29,870.56","R$29,727.52",SAO LUIS,8,TRUE,unknown
9,149,"R$26,644.46","R$23,362.14",RECIFE,9,FALSE,meat
10,149,"R$11,544.68","R$9,680.82",NATAL,6,FALSE,vegetable
11,180,"R$31,002.60","R$27,110.18",SAO LUIS,8,FALSE,unknown
12,208,"R$29,802.86","R$26,505.06",SAO LUIS,8,FALSE,unknown
13,175,"R$23,831.65","R$17,145.09",SAO LUIS,7,FALSE,meat
14,223,"R$42,626.53","R$31,053.01",RECIFE,12,FALSE,meat
15,265,"R$36,210.84","R$24,847.68",NATAL,10,FALSE,meat
16,235,"R$47,684.68","R$33,591.00",NATAL,13,FALSE,meat
17,229,"R$40,630.59","R$29,160.14",RECIFE,8,FALSE,unknown
18,189,"R$36,757.41","R$30,501.00",FORTALEZA,12,FALSE,meat
19,195,"R$10,269.56","R$9,160.26",SAO LUIS,4,FALSE,meat
20,204,"R$24,765.33","R$19,404.41",RECIFE,8,FALSE,meat
21,129,"R$14,881.61","R$10,822.15",FORTALEZA,4,FALSE,meat
22,167,"R$31,598.70","R$22,937.73",FORTALEZA,9,FALSE,meat
23,119,"R$25,144.17","R$24,675.20",NATAL,10,FALSE,meat
24,190,"R$19,898.95","R$16,022.60",SAO LUIS,6,FALSE,meat
25,177,"R$9,371.92","R$7,112.45",RECIFE,2,TRUE,unknown
26,170,"R$8,916.35","R$8,420.90",FORTALEZA,3,TRUE,meat
27,148,"R$16,589.53","R$14,038.96",SAO LUIS,6,FALSE,meat
28,173,"R$23,879.46","R$16,113.59",SAO LUIS,11,TRUE,vegetable
29,184,"R$7,277.41","R$5,389.97",RECIFE,2,FALSE,unknown
30,177,"R$25,249.81","R$19,690.69",SAO LUIS,13,TRUE,vegetable
